"timestamp","ip","port","hostname","tag","ipmi_version","asn","geo","region","city","none_auth","md2_auth","md5_auth","passkey_auth","oem_auth","defaultkg","permessage_auth","userlevel_auth","usernames","nulluser","anon_login","error","deviceid","devicerev","firmwarerev","version","manufacturerid","manufacturername","productid","productname","naics","sic","sector"
"2018-03-24 00:09:51","210.211.127.248",623,,"ipmi","2.0",38731,"VN","HA NOI","HANOI","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:10:56","58.84.3.145",623,,"ipmi","2.0",131366,"VN","HO CHI MINH","THANH PHO HO CHI MINH","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:12:02","118.69.239.137",623,,"ipmi","1.5",18403,"VN","HA NOI","HANOI","yes","no","yes","yes","no","-","enabled","enabled","no","yes","no",,,,,,,,,,518111,737401,"Communications"
"2018-03-24 00:13:18","58.84.3.148",623,,"ipmi","2.0",131366,"VN","HO CHI MINH","THANH PHO HO CHI MINH","no","yes","yes","no","yes","default","enabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:13:49","115.146.126.252",623,,"ipmi","2.0",38732,"VN","HA NOI","HANOI","no","yes","yes","yes","no","default","enabled","enabled","yes","yes","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:14:47","103.207.38.51",623,,"ipmi","2.0",45899,"VN","HA NOI","HANOI","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:16:02","103.248.165.7",623,,"ipmi","2.0",131380,"VN","HA NOI","HANOI","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:16:19","210.2.86.139",623,,"ipmi","2.0",24085,"VN","HO CHI MINH","THANH PHO HO CHI MINH","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:17:08","103.99.1.33",623,,"ipmi","2.0",135905,"VN","LAM DONG","DA LAT","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:18:34","210.245.26.110",623,,"ipmi","2.0",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH","no","yes","yes","no","no","default","enabled","enabled","yes","no","no",,,,,,,,,,518111,737401,"Communications"
"2018-03-24 00:20:52","125.212.244.238",623,,"ipmi","2.0",38731,"VN","HA NOI","HANOI","no","yes","yes","yes","no","default","enabled","enabled","yes","yes","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:21:52","210.245.126.212",623,,"ipmi","1.5",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH","yes","no","yes","yes","no","-","enabled","enabled","no","yes","no",,,,,,,,,,518111,737401,"Communications"
"2018-03-24 00:22:57","210.211.110.246",623,,"ipmi","2.0",38731,"VN","HA NOI","HANOI","no","yes","yes","yes","no","default","enabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:23:32","23.228.65.126",623,,"ipmi","2.0",46573,"VN","VIET NAM","?","yes","yes","yes","yes","no","default","disabled","enabled","yes","no","no",,,,,,,,,,518210,737401,"Communications"
"2018-03-24 00:26:00","103.207.38.57",623,,"ipmi","2.0",45899,"VN","HA NOI","HANOI","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:27:33","210.86.239.105",623,"ci239-105.netnam.vn","ipmi","2.0",24176,"VN","HO CHI MINH","THANH PHO HO CHI MINH","yes","yes","yes","yes","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:28:06","103.207.38.59",623,,"ipmi","2.0",45899,"VN","HA NOI","HANOI","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:28:54","119.17.200.42",623,"static.netnam.vn","ipmi","2.0",24173,"VN","HA NOI","HANOI","no","yes","yes","no","no","default","enabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
"2018-03-24 00:29:27","103.207.38.17",623,,"ipmi","2.0",45899,"VN","HA NOI","HANOI","no","no","no","no","no","default","disabled","enabled","yes","no","no",,,,,,,,,,0,0,"Communications"
