"timestamp","ip","protocol","port","hostname","tag","quote","asn","geo","region","city","naics","sic","sector"
"2018-03-24 10:09:10","171.249.64.206","udp",17,,"qotd","_My spelling is Wobbly.  It's good spelling but it Wobbles, and the letters?? get in the wrong places._ A. A. Milne (1882-1958)?",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,"Communications"
"2018-03-24 10:09:10","118.69.35.89","udp",17,,"qotd","_Man can climb to the highest summits, but he cannot dwell there long._?? George Bernard Shaw (1856-1950)??",18403,"VN","HA NOI","HANOI",518111,737401,"Communications"
"2018-03-24 10:09:49","45.117.80.73","udp",17,,"qotd","_Man can climb to the highest summits, but he cannot dwell there long._?? George Bernard Shaw (1856-1950)?",131353,"VN","HA NOI","HANOI",0,0,"Communications"
"2018-03-24 10:11:56","120.72.86.28","udp",17,,"qotd","_The secret of being miserable is to have leisure to bother about whether?? you are happy or not.  The cure for it is occupation._?? George Bernard Shaw (1856-1950)?",24085,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,"Communications"
"2018-03-24 10:12:25","45.117.82.88","udp",17,,"qotd","_My spelling is Wobbly.  It's good spelling but it Wobbles, and the letters?? get in the wrong places._ A. A. Milne (1882-1958)?",131353,"VN","HA NOI","HANOI",0,0,"Communications"
"2018-03-24 10:17:04","113.161.227.20","udp",17,"static.vnpt.vn","qotd","_We want a few mad people now. See where the sane ones have landed us!_?? George Bernard Shaw (1856-1950)?",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,"Communications"
"2018-03-24 10:20:57","113.177.99.2","udp",17,"static.vnpt.vn","qotd","_When a stupid man is doing something he is ashamed of, he always declares?? that it is his duty._ George Bernard Shaw (1856-1950)?",45899,"VN","HAI PHONG","HAI PHONG",0,0,"Communications"
"2018-03-24 10:21:27","27.72.83.206","udp",17,,"qotd","_We want a few mad people now. See where the sane ones have landed us!_?? George Bernard Shaw (1856-1950)?",7552,"VN","NGHE AN","VINH",0,0,"Communications"
"2018-03-24 10:22:02","42.112.168.149","udp",17,,"qotd","_The secret of being miserable is to have leisure to bother about whether?? you are happy or not.  The cure for it is occupation._?? George Bernard Shaw (1856-1950)?",18403,"VN","HA NOI","HANOI",0,0,"Communications"
"2018-03-24 10:25:27","116.110.31.33","udp",17,,"qotd","_Man can climb to the highest summits, but he cannot dwell there long._?? George Bernard Shaw (1856-1950)?",24086,"VN","QUANG NAM","HOI AN",0,0,"Communications"
"2018-03-24 10:28:15","210.245.91.94","udp",17,,"qotd","_We have no more right to consume happiness without producing it than to?? consume wealth without producing it._ George Bernard Shaw (1856-1950)?",18403,"VN","HA NOI","HANOI",518111,737401,"Communications"
"2018-03-24 10:29:40","113.162.170.171","udp",17,"static.vnpt.vn","qotd","_A wonderful fact to reflect upon, that every human creature is constituted?? to be that profound secret and mystery to every other._?? Charles Dickens (1812-70)?",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,"Communications"
"2018-03-24 10:33:01","116.97.245.38","udp",17,,"qotd","_A wonderful fact to reflect upon, that every human creature is constituted?? to be that profound secret and mystery to every other._?? Charles Dickens (1812-70)??",7552,"VN","HA NOI","HANOI",0,0,"Communications"
